id|Nationality|Nationality_Region|Nationality_IncomeGroup|aff_country|aff_country_Region|aff_country_IncomeGroup|Gender|Citations|Productivity|Degree
ur.01153754354.91|US|North America|High income|United States|North America|High income|male|167238|10|24
ur.01270235327.24|IE|Europe & Central Asia|High income|United States|North America|High income|male|105756|4|13
ur.01326610423.52|DE|Europe & Central Asia|High income|United States|North America|High income|male|97695|2|4
ur.07541605423.18|KR|East Asia & Pacific|High income|United States|North America|High income||61498|1|2
ur.01201000573.87|CN|East Asia & Pacific|Upper middle income|United States|North America|High income|male|61498|1|2
ur.0674300727.83|GB|Europe & Central Asia|High income|United States|North America|High income|male|61498|1|2
ur.0706204515.71|DE|Europe & Central Asia|High income|Austria|Europe & Central Asia|High income|male|106065|4|4
ur.01165772664.42|CH|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||48421|1|1
ur.01207120103.29|RU|Europe & Central Asia|Upper middle income|United Kingdom|Europe & Central Asia|High income||136316|13|67
ur.0721730631.45|TR|Europe & Central Asia|Upper middle income|United Kingdom|Europe & Central Asia|High income||142042|13|60
ur.07423561367.62|RU|Europe & Central Asia|Upper middle income|United Kingdom|Europe & Central Asia|High income||73111|6|40
ur.01242565474.00|CN|East Asia & Pacific|Upper middle income|United Kingdom|Europe & Central Asia|High income||62775|3|19
ur.0657076451.24|CN|East Asia & Pacific|Upper middle income|China|East Asia & Pacific|Upper middle income|male|62874|6|38
ur.011535264111.51|BY|Europe & Central Asia|Upper middle income|Russia|Europe & Central Asia|Upper middle income||55039|2|14
ur.0767105504.29|RU|Europe & Central Asia|Upper middle income|United Kingdom|Europe & Central Asia|High income||59208|3|15
ur.011033016243.08|RU|Europe & Central Asia|Upper middle income|Russia|Europe & Central Asia|Upper middle income||55039|2|14
ur.01137123101.53|AT|Europe & Central Asia|High income|Switzerland|Europe & Central Asia|High income|male|40272|2|2
ur.0612336673.17|ZA|Sub-Saharan Africa|Upper middle income|South Africa|Sub-Saharan Africa|Upper middle income|male|35215|1|1
ur.01212135660.92|IL|Middle East & North Africa|High income|United States|North America|High income|male|64058|3|3
ur.013324660742.20|MY|East Asia & Pacific|Upper middle income|United States|North America|High income||34653|1|1
ur.012401436171.63|NL|Europe & Central Asia|High income|United States|North America|High income|male|32306|1|1
ur.014404706153.05|US|North America|High income|United States|North America|High income|male|32306|1|1
ur.0632511150.69|HU|Europe & Central Asia|High income|United States|North America|High income||74946|10|24
ur.01017036620.03|GH|Sub-Saharan Africa|Lower middle income|United States|North America|High income||62324|7|14
ur.013617370277.09|AT|Europe & Central Asia|High income|France|Europe & Central Asia|High income||27460|1|1
ur.012306176627.11|SE|Europe & Central Asia|High income|Sweden|Europe & Central Asia|High income|male|24226|1|0
ur.01036471035.73|AT|Europe & Central Asia|High income|Austria|Europe & Central Asia|High income|male|22429|2|2
ur.07442033622.09|US|North America|High income|United States|North America|High income||17503|1|2
